Customer_Id,Max of transaction_date,Count of transaction_date,Sum of profit,R,F,M,rfm_group,rfm_score,value
3044,43095,9,"$5,793 ",10,9,10,"10,9,10",4.8,Very High
99,43097,9,"$4,558 ",10,9,9,"10,9,9",4.7,Very High
1000,43099,9,"$5,383 ",10,9,9,"10,9,9",4.7,Very High
1115,43097,9,"$4,631 ",10,9,9,"10,9,9",4.7,Very High
1137,43094,9,"$4,837 ",10,9,9,"10,9,9",4.7,Very High
1232,43095,9,"$5,012 ",10,9,9,"10,9,9",4.7,Very High
1792,43093,9,"$4,887 ",10,9,9,"10,9,9",4.7,Very High
2111,43093,9,"$4,791 ",10,9,9,"10,9,9",4.7,Very High
2340,43094,9,"$4,585 ",10,9,9,"10,9,9",4.7,Very High
2737,43094,9,"$5,372 ",10,9,9,"10,9,9",4.7,Very High
3080,43095,9,"$4,666 ",10,9,9,"10,9,9",4.7,Very High
2029,43098,9,"$4,156 ",10,9,8,"10,9,8",4.5,High
2152,43098,9,"$4,281 ",10,9,8,"10,9,8",4.5,High
3013,43095,9,"$3,849 ",10,9,8,"10,9,8",4.5,High
1390,43098,9,"$3,475 ",10,9,7,"10,9,7",4.3,High
1407,43099,9,"$3,797 ",10,9,7,"10,9,7",4.3,High
1950,43093,9,"$3,817 ",10,9,7,"10,9,7",4.3,High
478,43096,9,"$3,320 ",10,9,6,"10,9,6",4.2,High
1993,43093,9,"$2,849 ",10,9,6,"10,9,6",4.2,High
652,43094,9,"$2,489 ",10,9,5,"10,9,5",4.0,High
993,43099,9,"$2,739 ",10,9,5,"10,9,5",4.0,High
86,43099,9,"$2,360 ",10,9,4,"10,9,4",3.8,High
1480,43097,9,"$2,259 ",10,9,4,"10,9,4",3.8,High
151,43099,8,"$5,665 ",10,8,10,"10,8,10",4.7,Very High
946,43097,8,"$6,306 ",10,8,10,"10,8,10",4.7,Very High
983,43098,8,"$6,710 ",10,8,10,"10,8,10",4.7,Very High
2369,43098,8,"$6,855 ",10,8,10,"10,8,10",4.7,Very High
3290,43097,8,"$6,520 ",10,8,10,"10,8,10",4.7,Very High
3470,43097,8,"$7,229 ",10,8,10,"10,8,10",4.7,Very High
144,43093,8,"$4,888 ",10,8,9,"10,8,9",4.5,High
534,43093,8,"$4,810 ",10,8,9,"10,8,9",4.5,High
605,43097,8,"$5,026 ",10,8,9,"10,8,9",4.5,High
934,43099,8,"$4,900 ",10,8,9,"10,8,9",4.5,High
1492,43094,8,"$4,646 ",10,8,9,"10,8,9",4.5,High
1706,43097,8,"$4,667 ",10,8,9,"10,8,9",4.5,High
2109,43097,8,"$5,263 ",10,8,9,"10,8,9",4.5,High
2929,43098,8,"$5,309 ",10,8,9,"10,8,9",4.5,High
3337,43093,8,"$4,608 ",10,8,9,"10,8,9",4.5,High
215,43096,8,"$3,889 ",10,8,8,"10,8,8",4.3,High
381,43097,8,"$4,534 ",10,8,8,"10,8,8",4.3,High
1182,43094,8,"$4,046 ",10,8,8,"10,8,8",4.3,High
1358,43096,8,"$4,113 ",10,8,8,"10,8,8",4.3,High
1470,43098,8,"$3,961 ",10,8,8,"10,8,8",4.3,High
1867,43097,8,"$3,915 ",10,8,8,"10,8,8",4.3,High
2120,43097,8,"$4,543 ",10,8,8,"10,8,8",4.3,High
2130,43098,8,"$4,254 ",10,8,8,"10,8,8",4.3,High
3427,43098,8,"$3,921 ",10,8,8,"10,8,8",4.3,High
611,43096,8,"$3,500 ",10,8,7,"10,8,7",4.2,High
1054,43094,8,"$3,406 ",10,8,7,"10,8,7",4.2,High
1478,43098,8,"$3,670 ",10,8,7,"10,8,7",4.2,High
1691,43097,8,"$3,833 ",10,8,7,"10,8,7",4.2,High
1740,43093,8,"$3,770 ",10,8,7,"10,8,7",4.2,High
1970,43099,8,"$3,660 ",10,8,7,"10,8,7",4.2,High
2751,43096,8,"$3,820 ",10,8,7,"10,8,7",4.2,High
76,43098,8,"$2,868 ",10,8,6,"10,8,6",4.0,High
789,43095,8,"$2,893 ",10,8,6,"10,8,6",4.0,High
2372,43099,8,"$2,940 ",10,8,6,"10,8,6",4.0,High
217,43095,8,"$2,336 ",10,8,4,"10,8,4",3.7,High
328,43095,8,"$2,358 ",10,8,4,"10,8,4",3.7,High
1315,43094,8,"$2,217 ",10,8,4,"10,8,4",3.7,High
2607,43094,8,"$1,944 ",10,8,3,"10,8,3",3.5,Middle
195,43099,7,"$9,633 ",10,7,10,"10,7,10",4.5,High
721,43095,7,"$6,580 ",10,7,10,"10,7,10",4.5,High
1299,43093,7,"$5,958 ",10,7,10,"10,7,10",4.5,High
1629,43098,7,"$6,052 ",10,7,10,"10,7,10",4.5,High
2418,43097,7,"$5,457 ",10,7,10,"10,7,10",4.5,High
2458,43095,7,"$7,757 ",10,7,10,"10,7,10",4.5,High
2794,43094,7,"$6,417 ",10,7,10,"10,7,10",4.5,High
2856,43093,7,"$5,583 ",10,7,10,"10,7,10",4.5,High
52,43095,7,"$5,418 ",10,7,9,"10,7,9",4.3,High
1328,43099,7,"$5,352 ",10,7,9,"10,7,9",4.3,High
2865,43099,7,"$5,284 ",10,7,9,"10,7,9",4.3,High
3283,43099,7,"$5,059 ",10,7,9,"10,7,9",4.3,High
3315,43098,7,"$4,892 ",10,7,9,"10,7,9",4.3,High
124,43097,7,"$4,054 ",10,7,8,"10,7,8",4.2,High
668,43093,7,"$4,376 ",10,7,8,"10,7,8",4.2,High
886,43098,7,"$4,068 ",10,7,8,"10,7,8",4.2,High
1014,43095,7,"$3,934 ",10,7,8,"10,7,8",4.2,High
1713,43093,7,"$3,889 ",10,7,8,"10,7,8",4.2,High
2304,43096,7,"$4,122 ",10,7,8,"10,7,8",4.2,High
3007,43096,7,"$4,500 ",10,7,8,"10,7,8",4.2,High
3169,43099,7,"$4,540 ",10,7,8,"10,7,8",4.2,High
796,43093,7,"$3,816 ",10,7,7,"10,7,7",4.0,High
1721,43099,7,"$3,766 ",10,7,7,"10,7,7",4.0,High
1893,43097,7,"$3,637 ",10,7,7,"10,7,7",4.0,High
2585,43094,7,"$3,498 ",10,7,7,"10,7,7",4.0,High
3335,43096,7,"$3,583 ",10,7,7,"10,7,7",4.0,High
443,43095,7,"$3,171 ",10,7,6,"10,7,6",3.8,High
633,43098,7,"$3,328 ",10,7,6,"10,7,6",3.8,High
856,43098,7,"$2,913 ",10,7,6,"10,7,6",3.8,High
908,43095,7,"$2,880 ",10,7,6,"10,7,6",3.8,High
1549,43096,7,"$2,924 ",10,7,6,"10,7,6",3.8,High
2082,43098,7,"$2,903 ",10,7,6,"10,7,6",3.8,High
2531,43094,7,"$3,162 ",10,7,6,"10,7,6",3.8,High
1545,43097,7,"$2,637 ",10,7,5,"10,7,5",3.7,High
1925,43094,7,"$2,585 ",10,7,5,"10,7,5",3.7,High
1985,43099,7,"$2,665 ",10,7,5,"10,7,5",3.7,High
2611,43097,7,"$2,610 ",10,7,5,"10,7,5",3.7,High
3088,43096,7,"$2,487 ",10,7,5,"10,7,5",3.7,High
410,43093,7,"$2,178 ",10,7,4,"10,7,4",3.5,Middle
962,43097,7,"$2,344 ",10,7,4,"10,7,4",3.5,Middle
1999,43096,7,"$2,424 ",10,7,4,"10,7,4",3.5,Middle
2009,43094,7,"$2,357 ",10,7,4,"10,7,4",3.5,Middle
1758,43097,7,"$1,765 ",10,7,3,"10,7,3",3.3,Middle
2479,43097,7,"$1,732 ",10,7,3,"10,7,3",3.3,Middle
2730,43095,7,"$1,604 ",10,7,3,"10,7,3",3.3,Middle
2935,43093,7,"$2,017 ",10,7,3,"10,7,3",3.3,Middle
2958,43095,7,"$1,892 ",10,7,3,"10,7,3",3.3,Middle
3468,43098,7,"$1,770 ",10,7,3,"10,7,3",3.3,Middle
56,43097,7,"$1,275 ",10,7,2,"10,7,2",3.2,Middle
538,43095,6,"$5,620 ",10,5,10,"10,5,10",4.2,High
545,43093,6,"$5,666 ",10,5,10,"10,5,10",4.2,High
2301,43094,6,"$5,945 ",10,5,10,"10,5,10",4.2,High
2555,43098,6,"$5,496 ",10,5,10,"10,5,10",4.2,High
2961,43097,6,"$6,235 ",10,5,10,"10,5,10",4.2,High
3012,43096,6,"$6,440 ",10,5,10,"10,5,10",4.2,High
62,43094,6,"$4,921 ",10,5,9,"10,5,9",4.0,High
533,43097,6,"$5,387 ",10,5,9,"10,5,9",4.0,High
1787,43099,6,"$4,865 ",10,5,9,"10,5,9",4.0,High
2053,43094,6,"$4,941 ",10,5,9,"10,5,9",4.0,High
2729,43093,6,"$5,280 ",10,5,9,"10,5,9",4.0,High
3255,43097,6,"$5,323 ",10,5,9,"10,5,9",4.0,High
3467,43094,6,"$5,135 ",10,5,9,"10,5,9",4.0,High
1062,43097,6,"$4,451 ",10,5,8,"10,5,8",3.8,High
1158,43097,6,"$4,437 ",10,5,8,"10,5,8",3.8,High
1184,43094,6,"$4,315 ",10,5,8,"10,5,8",3.8,High
1994,43097,6,"$3,922 ",10,5,8,"10,5,8",3.8,High
2005,43094,6,"$4,048 ",10,5,8,"10,5,8",3.8,High
2195,43097,6,"$4,144 ",10,5,8,"10,5,8",3.8,High
2427,43096,6,"$4,388 ",10,5,8,"10,5,8",3.8,High
2597,43094,6,"$4,018 ",10,5,8,"10,5,8",3.8,High
465,43095,6,"$3,489 ",10,5,7,"10,5,7",3.7,High
593,43098,6,"$3,494 ",10,5,7,"10,5,7",3.7,High
1445,43093,6,"$3,423 ",10,5,7,"10,5,7",3.7,High
1540,43094,6,"$3,642 ",10,5,7,"10,5,7",3.7,High
1623,43097,6,"$3,363 ",10,5,7,"10,5,7",3.7,High
3227,43096,6,"$3,387 ",10,5,7,"10,5,7",3.7,High
974,43093,6,"$3,250 ",10,5,6,"10,5,6",3.5,Middle
1052,43099,6,"$3,260 ",10,5,6,"10,5,6",3.5,Middle
1413,43096,6,"$3,278 ",10,5,6,"10,5,6",3.5,Middle
1668,43095,6,"$2,902 ",10,5,6,"10,5,6",3.5,Middle
1795,43096,6,"$2,883 ",10,5,6,"10,5,6",3.5,Middle
1906,43098,6,"$2,958 ",10,5,6,"10,5,6",3.5,Middle
2404,43097,6,"$2,978 ",10,5,6,"10,5,6",3.5,Middle
2676,43094,6,"$2,944 ",10,5,6,"10,5,6",3.5,Middle
3008,43094,6,"$3,216 ",10,5,6,"10,5,6",3.5,Middle
3231,43098,6,"$2,994 ",10,5,6,"10,5,6",3.5,Middle
140,43096,6,"$2,700 ",10,5,5,"10,5,5",3.3,Middle
447,43099,6,"$2,782 ",10,5,5,"10,5,5",3.3,Middle
884,43098,6,"$2,771 ",10,5,5,"10,5,5",3.3,Middle
1532,43096,6,"$2,828 ",10,5,5,"10,5,5",3.3,Middle
1872,43096,6,"$2,621 ",10,5,5,"10,5,5",3.3,Middle
1934,43096,6,"$2,440 ",10,5,5,"10,5,5",3.3,Middle
2448,43093,6,"$2,581 ",10,5,5,"10,5,5",3.3,Middle
2693,43098,6,"$2,772 ",10,5,5,"10,5,5",3.3,Middle
2786,43096,6,"$2,718 ",10,5,5,"10,5,5",3.3,Middle
3332,43094,6,"$2,799 ",10,5,5,"10,5,5",3.3,Middle
3355,43099,6,"$2,465 ",10,5,5,"10,5,5",3.3,Middle
3472,43094,6,"$2,780 ",10,5,5,"10,5,5",3.3,Middle
613,43096,6,"$2,099 ",10,5,4,"10,5,4",3.2,Middle
843,43097,6,"$2,372 ",10,5,4,"10,5,4",3.2,Middle
932,43096,6,"$2,122 ",10,5,4,"10,5,4",3.2,Middle
1297,43097,6,"$2,425 ",10,5,4,"10,5,4",3.2,Middle
1304,43096,6,"$2,321 ",10,5,4,"10,5,4",3.2,Middle
2954,43093,6,"$2,388 ",10,5,4,"10,5,4",3.2,Middle
951,43093,6,"$1,741 ",10,5,3,"10,5,3",3.0,Middle
1077,43094,6,"$1,658 ",10,5,3,"10,5,3",3.0,Middle
1120,43098,6,"$1,786 ",10,5,3,"10,5,3",3.0,Middle
1134,43096,6,"$1,623 ",10,5,3,"10,5,3",3.0,Middle
1190,43093,6,"$2,008 ",10,5,3,"10,5,3",3.0,Middle
1624,43096,6,"$1,627 ",10,5,3,"10,5,3",3.0,Middle
2485,43095,6,"$1,699 ",10,5,3,"10,5,3",3.0,Middle
2908,43098,6,"$2,066 ",10,5,3,"10,5,3",3.0,Middle
3239,43097,6,"$1,769 ",10,5,3,"10,5,3",3.0,Middle
3363,43095,6,"$1,801 ",10,5,3,"10,5,3",3.0,Middle
276,43096,6,"$1,108 ",10,5,2,"10,5,2",2.8,Middle
350,43095,6,"$1,009 ",10,5,2,"10,5,2",2.8,Middle
1944,43094,6,"$1,346 ",10,5,2,"10,5,2",2.8,Middle
3147,43096,6,"$1,273 ",10,5,2,"10,5,2",2.8,Middle
2421,43099,6,$410 ,10,5,1,"10,5,1",2.7,Middle
189,43096,5,"$5,330 ",10,4,9,"10,4,9",3.8,High
703,43098,5,"$4,929 ",10,4,9,"10,4,9",3.8,High
1471,43094,5,"$4,686 ",10,4,9,"10,4,9",3.8,High
1926,43094,5,"$4,911 ",10,4,9,"10,4,9",3.8,High
2345,43099,5,"$4,720 ",10,4,9,"10,4,9",3.8,High
2805,43096,5,"$4,721 ",10,4,9,"10,4,9",3.8,High
2808,43093,5,"$5,191 ",10,4,9,"10,4,9",3.8,High
21,43093,5,"$4,229 ",10,4,8,"10,4,8",3.7,High
2044,43094,5,"$3,977 ",10,4,8,"10,4,8",3.7,High
3016,43099,5,"$4,254 ",10,4,8,"10,4,8",3.7,High
3298,43095,5,"$4,214 ",10,4,8,"10,4,8",3.7,High
979,43094,5,"$3,757 ",10,4,7,"10,4,7",3.5,Middle
1342,43096,5,"$3,822 ",10,4,7,"10,4,7",3.5,Middle
1452,43097,5,"$3,432 ",10,4,7,"10,4,7",3.5,Middle
1500,43094,5,"$3,488 ",10,4,7,"10,4,7",3.5,Middle
3054,43097,5,"$3,331 ",10,4,7,"10,4,7",3.5,Middle
3130,43099,5,"$3,793 ",10,4,7,"10,4,7",3.5,Middle
3293,43099,5,"$3,650 ",10,4,7,"10,4,7",3.5,Middle
772,43097,5,"$2,879 ",10,4,6,"10,4,6",3.3,Middle
1143,43095,5,"$3,278 ",10,4,6,"10,4,6",3.3,Middle
1327,43093,5,"$2,849 ",10,4,6,"10,4,6",3.3,Middle
1453,43099,5,"$3,266 ",10,4,6,"10,4,6",3.3,Middle
1617,43094,5,"$2,977 ",10,4,6,"10,4,6",3.3,Middle
1767,43095,5,"$3,152 ",10,4,6,"10,4,6",3.3,Middle
1918,43098,5,"$3,093 ",10,4,6,"10,4,6",3.3,Middle
2780,43097,5,"$3,092 ",10,4,6,"10,4,6",3.3,Middle
3031,43097,5,"$2,911 ",10,4,6,"10,4,6",3.3,Middle
70,43095,5,"$2,737 ",10,4,5,"10,4,5",3.2,Middle
224,43098,5,"$2,462 ",10,4,5,"10,4,5",3.2,Middle
933,43099,5,"$2,818 ",10,4,5,"10,4,5",3.2,Middle
1594,43099,5,"$2,618 ",10,4,5,"10,4,5",3.2,Middle
1972,43099,5,"$2,793 ",10,4,5,"10,4,5",3.2,Middle
2396,43099,5,"$2,701 ",10,4,5,"10,4,5",3.2,Middle
3197,43096,5,"$2,762 ",10,4,5,"10,4,5",3.2,Middle
3356,43095,5,"$2,800 ",10,4,5,"10,4,5",3.2,Middle
1965,43093,5,"$2,094 ",10,4,4,"10,4,4",3.0,Middle
2254,43096,5,"$2,319 ",10,4,4,"10,4,4",3.0,Middle
2365,43098,5,"$2,412 ",10,4,4,"10,4,4",3.0,Middle
3393,43097,5,"$2,096 ",10,4,4,"10,4,4",3.0,Middle
17,43099,5,"$2,016 ",10,4,3,"10,4,3",2.8,Middle
256,43099,5,"$1,729 ",10,4,3,"10,4,3",2.8,Middle
543,43099,5,"$1,924 ",10,4,3,"10,4,3",2.8,Middle
673,43097,5,"$2,059 ",10,4,3,"10,4,3",2.8,Middle
964,43098,5,"$2,019 ",10,4,3,"10,4,3",2.8,Middle
1607,43098,5,"$1,681 ",10,4,3,"10,4,3",2.8,Middle
1709,43095,5,"$2,059 ",10,4,3,"10,4,3",2.8,Middle
1794,43098,5,"$1,789 ",10,4,3,"10,4,3",2.8,Middle
2689,43098,5,"$1,615 ",10,4,3,"10,4,3",2.8,Middle
362,43099,5,"$1,473 ",10,4,2,"10,4,2",2.7,Middle
1701,43094,5,"$1,421 ",10,4,2,"10,4,2",2.7,Middle
3065,43094,5,"$1,367 ",10,4,2,"10,4,2",2.7,Middle
64,43096,5,$547 ,10,4,1,"10,4,1",2.5,Low
1504,43094,5,$713 ,10,4,1,"10,4,1",2.5,Low
1822,43097,5,$849 ,10,4,1,"10,4,1",2.5,Low
1571,43096,4,"$4,969 ",10,2,9,"10,2,9",3.5,Middle
3374,43098,4,"$5,035 ",10,2,9,"10,2,9",3.5,Middle
2561,43098,4,"$4,283 ",10,2,8,"10,2,8",3.3,Middle
1070,43099,4,"$3,559 ",10,2,7,"10,2,7",3.2,Middle
2112,43097,4,"$3,696 ",10,2,7,"10,2,7",3.2,Middle
2976,43093,4,"$3,522 ",10,2,7,"10,2,7",3.2,Middle
81,43095,4,"$3,249 ",10,2,6,"10,2,6",3.0,Middle
1240,43094,4,"$3,015 ",10,2,6,"10,2,6",3.0,Middle
1425,43099,4,"$3,145 ",10,2,6,"10,2,6",3.0,Middle
1941,43094,4,"$3,130 ",10,2,6,"10,2,6",3.0,Middle
1983,43097,4,"$3,062 ",10,2,6,"10,2,6",3.0,Middle
2054,43098,4,"$3,001 ",10,2,6,"10,2,6",3.0,Middle
2106,43096,4,"$3,249 ",10,2,6,"10,2,6",3.0,Middle
2922,43098,4,"$2,948 ",10,2,6,"10,2,6",3.0,Middle
3312,43093,4,"$3,123 ",10,2,6,"10,2,6",3.0,Middle
1264,43097,4,"$2,700 ",10,2,5,"10,2,5",2.8,Middle
2306,43093,4,"$2,514 ",10,2,5,"10,2,5",2.8,Middle
3475,43096,4,"$2,515 ",10,2,5,"10,2,5",2.8,Middle
3494,43095,4,"$2,755 ",10,2,5,"10,2,5",2.8,Middle
236,43093,4,"$2,435 ",10,2,4,"10,2,4",2.7,Middle
1159,43093,4,"$2,352 ",10,2,4,"10,2,4",2.7,Middle
1886,43093,4,"$2,435 ",10,2,4,"10,2,4",2.7,Middle
2050,43093,4,"$2,099 ",10,2,4,"10,2,4",2.7,Middle
2075,43095,4,"$2,303 ",10,2,4,"10,2,4",2.7,Middle
2414,43095,4,"$2,209 ",10,2,4,"10,2,4",2.7,Middle
2773,43095,4,"$2,293 ",10,2,4,"10,2,4",2.7,Middle
3119,43094,4,"$2,330 ",10,2,4,"10,2,4",2.7,Middle
559,43093,4,"$1,824 ",10,2,3,"10,2,3",2.5,Low
1253,43095,4,"$1,948 ",10,2,3,"10,2,3",2.5,Low
2709,43097,4,"$2,040 ",10,2,3,"10,2,3",2.5,Low
2748,43093,4,"$2,060 ",10,2,3,"10,2,3",2.5,Low
3338,43095,4,"$1,913 ",10,2,3,"10,2,3",2.5,Low
826,43095,4,"$1,455 ",10,2,2,"10,2,2",2.3,Low
1454,43094,4,"$1,428 ",10,2,2,"10,2,2",2.3,Low
1764,43097,4,"$1,154 ",10,2,2,"10,2,2",2.3,Low
2731,43096,4,"$1,514 ",10,2,2,"10,2,2",2.3,Low
3123,43099,4,"$1,248 ",10,2,2,"10,2,2",2.3,Low
3216,43099,4,"$1,236 ",10,2,2,"10,2,2",2.3,Low
3275,43095,4,"$1,581 ",10,2,2,"10,2,2",2.3,Low
3322,43097,4,"$1,066 ",10,2,2,"10,2,2",2.3,Low
1538,43098,4,$223 ,10,2,1,"10,2,1",2.2,Low
1703,43096,4,$761 ,10,2,1,"10,2,1",2.2,Low
3253,43094,3,"$4,032 ",10,1,8,"10,1,8",3.2,Middle
106,43098,3,"$2,514 ",10,1,5,"10,1,5",2.7,Middle
2079,43096,3,"$2,693 ",10,1,5,"10,1,5",2.7,Middle
3419,43094,3,"$2,591 ",10,1,5,"10,1,5",2.7,Middle
1854,43099,3,"$2,136 ",10,1,4,"10,1,4",2.5,Low
2236,43098,3,"$2,124 ",10,1,4,"10,1,4",2.5,Low
1219,43095,3,"$2,016 ",10,1,3,"10,1,3",2.3,Low
1829,43096,3,"$1,806 ",10,1,3,"10,1,3",2.3,Low
2168,43097,3,"$1,864 ",10,1,3,"10,1,3",2.3,Low
3257,43093,3,"$2,064 ",10,1,3,"10,1,3",2.3,Low
3452,43097,2,"$1,821 ",10,1,3,"10,1,3",2.3,Low
675,43099,3,"$1,397 ",10,1,2,"10,1,2",2.2,Low
1584,43097,2,"$1,324 ",10,1,2,"10,1,2",2.2,Low
2032,43094,2,$979 ,10,1,2,"10,1,2",2.2,Low
2330,43095,3,"$1,203 ",10,1,2,"10,1,2",2.2,Low
1393,43098,3,$799 ,10,1,1,"10,1,1",2.0,Low
1485,43095,2,$527 ,10,1,1,"10,1,1",2.0,Low
1495,43096,2,$575 ,10,1,1,"10,1,1",2.0,Low
1810,43093,2,$168 ,10,1,1,"10,1,1",2.0,Low
2713,43099,3,$943 ,10,1,1,"10,1,1",2.0,Low
2878,43099,3,$785 ,10,1,1,"10,1,1",2.0,Low
3156,43095,3,$312 ,10,1,1,"10,1,1",2.0,Low
3446,43095,2,$309 ,10,1,1,"10,1,1",2.0,Low
174,43088,10,"$7,628 ",9,10,10,"9,10,10",4.8,Very High
234,43088,10,"$5,763 ",9,10,10,"9,10,10",4.8,Very High
320,43087,10,"$7,205 ",9,10,10,"9,10,10",4.8,Very High
669,43091,11,"$5,513 ",9,10,10,"9,10,10",4.8,Very High
799,43089,11,"$7,142 ",9,10,10,"9,10,10",4.8,Very High
1076,43090,12,"$8,105 ",9,10,10,"9,10,10",4.8,Very High
1357,43087,10,"$5,690 ",9,10,10,"9,10,10",4.8,Very High
1396,43090,10,"$7,076 ",9,10,10,"9,10,10",4.8,Very High
2183,43091,14,"$6,513 ",9,10,10,"9,10,10",4.8,Very High
2492,43092,10,"$8,437 ",9,10,10,"9,10,10",4.8,Very High
2816,43091,10,"$5,878 ",9,10,10,"9,10,10",4.8,Very High
2826,43088,12,"$6,755 ",9,10,10,"9,10,10",4.8,Very High
2860,43091,10,"$8,358 ",9,10,10,"9,10,10",4.8,Very High
2914,43087,12,"$6,836 ",9,10,10,"9,10,10",4.8,Very High
2999,43091,11,"$8,095 ",9,10,10,"9,10,10",4.8,Very High
3086,43088,10,"$5,714 ",9,10,10,"9,10,10",4.8,Very High
3217,43091,11,"$5,564 ",9,10,10,"9,10,10",4.8,Very High
3232,43091,13,"$8,904 ",9,10,10,"9,10,10",4.8,Very High
3251,43092,11,"$6,265 ",9,10,10,"9,10,10",4.8,Very High
3256,43087,10,"$7,288 ",9,10,10,"9,10,10",4.8,Very High
298,43091,11,"$5,286 ",9,10,9,"9,10,9",4.7,Very High
637,43092,13,"$5,402 ",9,10,9,"9,10,9",4.7,Very High
1404,43092,10,"$5,427 ",9,10,9,"9,10,9",4.7,Very High
1773,43091,11,"$5,398 ",9,10,9,"9,10,9",4.7,Very High
2023,43086,10,"$5,133 ",9,10,9,"9,10,9",4.7,Very High
2836,43086,10,"$4,664 ",9,10,9,"9,10,9",4.7,Very High
3286,43090,10,"$5,315 ",9,10,9,"9,10,9",4.7,Very High
109,43091,10,"$4,431 ",9,10,8,"9,10,8",4.5,High
704,43089,10,"$4,034 ",9,10,8,"9,10,8",4.5,High
925,43087,10,"$4,371 ",9,10,8,"9,10,8",4.5,High
2072,43091,13,"$4,137 ",9,10,8,"9,10,8",4.5,High
2465,43088,10,"$4,384 ",9,10,8,"9,10,8",4.5,High
1519,43091,11,"$3,820 ",9,10,7,"9,10,7",4.3,High
1,43092,11,"$3,018 ",9,10,6,"9,10,6",4.2,High
359,43091,10,"$2,922 ",9,10,6,"9,10,6",4.2,High
2618,43092,10,"$3,008 ",9,10,6,"9,10,6",4.2,High
37,43092,9,"$6,338 ",9,9,10,"9,9,10",4.7,Very High
165,43091,9,"$6,183 ",9,9,10,"9,9,10",4.7,Very High
200,43092,9,"$7,284 ",9,9,10,"9,9,10",4.7,Very High
